parameter,value,CV,se_lin,rse_lin,P2.5_lin,P97.5_lin
ka_pop,1.53563324080744,,0.308137209798278,20.065807486445,1.04784,2.25051
V_pop,0.454500165912666,,0.0185577039653382,4.0831016921794,0.419587,0.492318
beta_V_logtWEIGHT,-0.483768791834401,,0.297146626510255,61.4232731680574,-1.06617,0.0986279
Cl_pop,0.0395869803161636,,0.00321256154639888,8.11519727127855,0.0337919,0.0463759
beta_Cl_logtWEIGHT,-0.542605480924386,,0.607983626807099,112.048928398463,-1.73423,0.649021
omega_ka,0.638422971586284,70.9352904498267,0.142388300756398,22.3031292878775,0.418566,0.973762
omega_V,0.107483542999096,10.7794723051599,0.0363552792934816,33.8240425269452,0.0580784,0.198916
omega_Cl,0.256977495980717,26.1278979858147,0.0604880404461679,23.5382636192808,0.164858,0.400572
a,0.435440096951588,,0.123640681227656,28.3944179907258,0.257051,0.737627
b,0.054715265289611,,0.0236796000251228,43.2778675197595,0.0256425,0.11675
